"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-06","7.16",,"0.00","0.0","0.0","40","55","32","  320","  310","21.0","29.1",,,,"    1",,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-07","6.49",,"0.00","0.0","0.0","48","76","28","  230","  220","21.0","32.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-08","7.38",,"0.00","0.0","0.0","52","70","34","  180","  170","18.1","27.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-09","11.41",,"0.03","0.0","0.0","66","74","61","  180","  170","21.0","30.0","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-10","10.74",,"0.22","0.0","0.0","64","72","48","   20","   10","23.0","29.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-11","14.09",,"0.35","0.0","0.0","47","48","44","  360","   10","21.9","28.0","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-12","6.71",,"0.67","0.0","0.0","48","58","37","   60","  290","18.1","25.1","    1",,"    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-13","12.08",,"0.00","0.0","0.0","46","54","35","   20","   10","23.0","29.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-14","5.37",,"0.00","0.0","0.0","43","59","29","   20","   80","15.0","23.9",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-15","4.25",,"0.00","0.0","0.0","46","65","31","  200","  200","16.1","21.9",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-16","4.25",,"0.00","0.0","0.0","60","77","43","  180","  170","16.1","19.9",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-17","9.62",,"0.01","0.0","0.0","66","80","49","  200","  200","19.9","28.0","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-18","10.74",,"0.05","0.0","0.0","68","73","50","   10","  360","23.9","33.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-19","13.20",,"0.05","0.0","0.0","50","51","47","   10","   10","21.0","27.1","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-20","16.33",,"0.33","0.0","0.0","47","51","42","   10","   10","29.1","38.0","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-21","9.84",,"0.00","0.0","0.0","45","54","36","  360","  360","18.1","23.9",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-22","6.71",,"0.00","0.0","0.0","49","63","38","  150","  160","16.1","23.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-23","8.50",,"0.00","0.0","0.0","59","70","54","  170","  170","21.9","30.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-24","6.49",,"0.00","0.0","0.0","66","70","44","  310","  310","17.0","25.1",,,"    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-25","12.53",,"0.00","0.0","0.0","54","68","39","  350","  320","25.1","36.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-26","15.21",,"0.00","0.0","0.0","51","55","29","  340","  350","30.0","42.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-27","4.47",,"0.00","0.0","0.0","43","63","24","  190","  240","15.0","21.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-28","3.36",,"0.00","0.0","0.0","50","74","31","  220","  220","12.1","17.0",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-02-29","10.29",,"0.00","0.0","0.0","54","75","35","  170","  160","23.9","35.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-01","10.51",,"0.00","0.0","0.0","64","77","54","  200","  200","23.0","31.1",,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-02","6.93",,"0.00","0.0","0.0","69","78","63","  170","  180","17.0","23.0","    1",,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-03","6.04",,"0.00","0.0","0.0","68","75","60","  110","   90","18.1","25.9","    1","    1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-04","12.08",,"0.85","0.0","0.0","67","68","54","   20","   30","29.1","38.0","    1",,"    1",,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2020-03-05","7.83",,"0.00","0.0","0.0","59","75","48","  360","  360","21.0","27.1",,,,,,,,
